,song,artist,date,explicit,uri,popularity,ironhacker,links
114,Running Up That Hill (A Deal With God),Kate Bush,1985,False,spotify:track:75FEaRjZTKLhTrFGsfMUXR,82,Belén,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
115,Another Love,Tom Odell,2013-06-24,True,spotify:track:3JvKfv6T31zO0ini8iNItO,91,Belén,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
116,A Horse with No Name,America,1972,False,spotify:track:54eZmuggBFJbV7k248bTTt,74,Jorge,https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
116,A Horse with No Name,George Martin,1972,False,spotify:track:54eZmuggBFJbV7k248bTTt,74,Jorge,https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
117,American Idiot,Green Day,2004-09-21,True,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,77,Jorge,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
118,Wake Me up When September Ends,Green Day,2004-09-21,False,spotify:track:3ZffCQKLFLUvYM59XKLbVm,75,Jorge,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm
119,Perfect,Simple Plan,2018-04-06,False,spotify:track:4j3X4KX8rURekAVIFUhI23,67,Jorge,https://open.spotify.com/track/4j3X4KX8rURekAVIFUhI23
120,Welcome to My Life,Simple Plan,2004-10-26,False,spotify:track:10rChmECwPcvTTj4w07hq4,66,Jorge,https://open.spotify.com/track/10rChmECwPcvTTj4w07hq4
121,Hasta la Raíz,Natalia Lafourcade,2015-11-13,False,spotify:track:3lGMtkONrZdJ8kTCg6KIFf,77,Paula,https://open.spotify.com/track/3lGMtkONrZdJ8kTCg6KIFf
122,LA DOLCE VITA,Fedez,2022-06-03,False,spotify:track:0I0b7uTFfHhBz5bMkSDouF,63,Belén,https://open.spotify.com/track/0I0b7uTFfHhBz5bMkSDouF
122,LA DOLCE VITA,Tananai,2022-06-03,False,spotify:track:0I0b7uTFfHhBz5bMkSDouF,63,Belén,https://open.spotify.com/track/0I0b7uTFfHhBz5bMkSDouF
122,LA DOLCE VITA,Mara Sattei,2022-06-03,False,spotify:track:0I0b7uTFfHhBz5bMkSDouF,63,Belén,https://open.spotify.com/track/0I0b7uTFfHhBz5bMkSDouF
123,So Lonely,The Police,1978-11-02,False,spotify:track:2wnsBaxrmkthIFAm6vqCuX,64,Elisa,https://open.spotify.com/track/2wnsBaxrmkthIFAm6vqCuX
124,Roxanne,The Police,1978-11-02,False,spotify:track:3EYOJ48Et32uATr9ZmLnAo,76,Elisa,https://open.spotify.com/track/3EYOJ48Et32uATr9ZmLnAo
